City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Uri,IN,2021-01-19 17:00:26,34.0833,74.0333,40.21,59,0,7.67
185,Beringovskiy,RU,2021-01-19 17:00:26,63.05,179.3167,-19.1,87,100,15.21
186,Iranshahr,IR,2021-01-19 17:00:27,27.2025,60.6848,64.4,34,0,3.67
187,Guiglo,CI,2021-01-19 17:00:27,6.5456,-7.4966,95.23,24,19,2.24
188,Rio Gallegos,AR,2021-01-19 17:00:27,-51.6226,-69.2181,68.0,37,40,9.22
189,Nouadhibou,MR,2021-01-19 17:00:27,20.931,-17.0347,80.6,11,100,9.22
190,Tuktoyaktuk,CA,2021-01-19 17:00:27,69.4541,-133.0374,-4.0,77,1,16.11
191,Majene,ID,2021-01-19 17:00:28,-3.5403,118.9707,76.98,84,100,4.25
192,Grand Gaube,MU,2021-01-19 17:00:28,-20.0064,57.6608,81.0,84,0,3.0
193,Port Elizabeth,ZA,2021-01-19 17:00:28,-33.918,25.5701,69.8,88,20,29.93
194,Dicabisagan,PH,2021-01-19 17:00:28,17.0818,122.4157,76.05,88,100,13.0
195,Lorengau,PG,2021-01-19 17:00:29,-2.0226,147.2712,81.99,76,76,7.61
196,Meulaboh,ID,2021-01-19 17:00:29,4.1363,96.1285,76.51,87,99,4.47
197,Tigre,AR,2021-01-19 17:00:29,-34.426,-58.5796,91.0,29,0,6.91
198,Kindu,CD,2021-01-19 17:00:29,-2.95,25.95,74.64,80,95,1.61
199,Fernley,US,2021-01-19 17:00:29,39.608,-119.2518,32.0,45,0,7.0
200,Victoria,HK,2021-01-19 16:58:03,22.2855,114.1577,62.01,76,75,1.01
201,Yenagoa,NG,2021-01-19 17:00:30,4.9247,6.2642,87.19,53,76,8.77
202,Napanee,CA,2021-01-19 17:00:27,44.2501,-76.9494,27.0,86,90,2.3
203,Gazanjyk,TM,2021-01-19 17:00:30,39.2446,55.5154,44.76,64,0,7.7
204,Lotofaga,WS,2021-01-19 17:00:30,-13.9764,-171.8578,77.0,94,20,4.61
205,East London,ZA,2021-01-19 17:00:31,-33.0153,27.9116,77.0,73,40,21.85
206,Cittanova,IT,2021-01-19 17:00:31,38.3552,16.0798,52.0,35,0,2.84
207,Zeya,RU,2021-01-19 17:00:31,53.75,127.2667,-23.01,83,78,3.13
208,San Cristobal,VE,2021-01-19 17:00:31,7.7669,-72.225,84.2,58,40,6.91
209,Okhotsk,RU,2021-01-19 17:00:31,59.3833,143.3,-2.36,86,100,8.9
210,Mehamn,NO,2021-01-19 17:00:31,71.0357,27.8492,24.8,54,40,11.5
211,Waddan,LY,2021-01-19 17:00:32,29.1614,16.139,57.63,47,57,7.02
212,Bara,NG,2021-01-19 17:00:32,10.3744,10.7288,83.05,15,0,8.46
213,Seydi,TM,2021-01-19 16:57:09,39.4816,62.9137,48.72,51,0,6.85
214,Ternate,ID,2021-01-19 17:00:32,0.8,127.4,81.43,80,100,6.04
215,Bafq,IR,2021-01-19 17:00:32,31.6128,55.4107,54.43,34,28,1.86
216,Petropavl,KZ,2021-01-19 17:00:32,54.8753,69.1628,-5.22,90,95,7.7
217,Mayya,RU,2021-01-19 17:00:32,61.7333,130.2811,-61.6,50,3,5.14
218,Ganzhou,CN,2021-01-19 17:00:33,28.8184,115.4327,46.96,52,0,1.57
219,Bayan,CN,2021-01-19 17:00:33,46.0833,127.4,-11.22,85,24,4.23
220,Progreso,MX,2021-01-19 17:00:33,21.2833,-89.6667,82.0,65,75,17.27
221,Piney Green,US,2021-01-19 17:00:33,34.716,-77.3202,55.0,35,1,5.75
222,Bethel,US,2021-01-19 17:00:34,41.3712,-73.414,37.4,60,75,6.91
223,Geraldton,AU,2021-01-19 17:00:34,-28.7667,114.6,75.2,78,90,5.75
224,Delijan,IR,2021-01-19 17:00:34,33.9905,50.6838,44.4,51,3,4.65
225,Ivanava,BY,2021-01-19 17:00:34,52.1451,25.5365,5.85,93,0,8.1
226,Verkhnyaya Toyma,RU,2021-01-19 17:00:34,62.2349,44.9985,9.57,96,97,4.16
227,Boca Do Acre,BR,2021-01-19 17:00:35,-8.7522,-67.3978,74.59,89,100,2.35
228,Jardim,BR,2021-01-19 17:00:35,-21.4803,-56.1381,73.35,97,100,3.13
229,Roma,US,2021-01-19 16:58:04,43.2128,-75.4557,35.01,80,90,3.44
230,Pontes E Lacerda,BR,2021-01-19 17:00:35,-15.2261,-59.3353,81.68,66,95,2.62
231,Zhigansk,RU,2021-01-19 17:00:35,66.7697,123.3711,-53.84,72,52,3.58
232,Tarakan,ID,2021-01-19 17:00:36,3.3,117.6333,78.8,94,40,2.3
233,Padang,ID,2021-01-19 17:00:36,-0.9492,100.3543,75.2,88,20,3.44
234,Kudahuvadhoo,MV,2021-01-19 17:00:36,2.6708,72.8944,82.63,67,78,5.68
235,Kahului,US,2021-01-19 17:00:36,20.8947,-156.47,71.6,68,75,11.5
