City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Nisia Floresta,BR,84.2,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
675,Mitsamiouli,KM,81.93,overcast clouds,-11.3847,43.2844,Foyer ADM
678,Lavumisa,SZ,82.4,broken clouds,-27.31,31.892,ROADSIDE B&B
683,Machali,CL,80.6,clear sky,-34.1833,-70.6667,Residencial Aquelarre
687,Arinos,BR,82.17,broken clouds,-15.9169,-46.1056,casa do bruno
695,Sabana De Torres,CO,77.0,light intensity drizzle,7.3915,-73.4957,Hotel el Milagro
699,Saint-Joseph,RE,80.6,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
703,Isangel,VU,77.23,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
704,Moroni,KM,79.66,overcast clouds,-11.7022,43.2551,Hotel les Arcades
705,Voh,NC,75.33,broken clouds,-20.9667,164.7,Le gîte du Koniambo
714,Cozumel,MX,84.2,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
717,Monrovia,LR,78.8,mist,6.3005,-10.7969,Sunset Inn
720,Sorong,ID,79.23,broken clouds,-0.8833,131.25,The Waigo Hotel
