City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Cap-Aux-Meules,CA,47.3821,-61.8597,26.6,74,100,23.02,overcast clouds
203,Makakilo City,US,21.3469,-158.0858,78.8,65,40,6.91,scattered clouds
204,Sobolevo,RU,54.4299,31.8996,32.65,97,100,10.13,overcast clouds
205,Tromso,NO,69.6496,18.957,19.4,63,75,4.61,light snow
206,Naze,JP,28.3667,129.4833,62.04,89,25,11.34,scattered clouds
207,Otradnoye,RU,59.7775,30.8181,33.8,86,90,6.71,light snow
208,Flinders,AU,-34.5833,150.8552,71.01,90,0,1.01,clear sky
209,Nanortalik,GL,60.1432,-45.2371,23.45,88,0,7.29,clear sky
210,Manacapuru,BR,-3.2997,-60.6206,87.8,66,40,9.22,scattered clouds
211,Babstovo,RU,48.1167,132.4833,0.52,93,99,3.27,overcast clouds
212,Shingu,JP,33.7333,135.9833,53.49,91,100,13.56,light rain
213,Hasaki,JP,35.7333,140.8333,39.2,100,75,17.27,light rain
214,Lantana,US,26.5867,-80.052,79.0,61,1,8.05,clear sky
215,Lasalgaon,IN,20.15,74.2333,68.22,48,0,5.46,clear sky
216,Ilulissat,GL,69.2167,-51.1,19.4,38,20,6.91,few clouds
217,Roma,US,43.2128,-75.4557,19.99,67,75,18.41,broken clouds
218,Torbay,CA,47.6666,-52.7314,25.0,93,90,20.71,overcast clouds
219,Satkhira,BD,22.7167,89.1,59.0,88,0,1.86,mist
220,Kalabo,ZM,-14.97,22.6814,68.9,91,100,4.38,overcast clouds
221,Copiapo,CL,-27.3667,-70.3333,69.8,60,20,11.5,few clouds
222,Imbituba,BR,-28.24,-48.6703,77.0,88,75,5.75,broken clouds
223,Norman Wells,CA,65.282,-126.8329,-18.4,76,75,5.75,broken clouds
224,Yarmouth,US,41.7057,-70.2286,33.8,34,75,12.66,broken clouds
225,Nara,JP,34.6851,135.8049,45.0,98,100,5.73,light rain
226,Geraldton,AU,-28.7667,114.6,71.6,68,75,10.36,broken clouds
227,Carutapera,BR,-1.195,-46.02,82.22,71,100,8.25,overcast clouds
228,Vestmannaeyjar,IS,63.4427,-20.2734,30.2,64,20,21.85,few clouds
229,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,97.0,44,86,3.0,overcast clouds
230,Luderitz,NA,-26.6481,15.1594,72.37,48,100,27.47,overcast clouds
231,Chirongui,YT,-12.9319,45.1483,82.4,78,20,5.75,few clouds
232,Gamboma,CG,-1.8764,15.8644,76.01,80,99,3.94,overcast clouds
233,Tres Arroyos,AR,-38.3739,-60.2798,98.02,23,0,8.97,clear sky
234,Berlevag,NO,70.8578,29.0864,22.75,95,100,30.24,light snow
235,Grindavik,IS,63.8424,-22.4338,30.2,74,75,26.46,broken clouds
236,Vao,NC,-22.6667,167.4833,76.1,82,88,26.66,overcast clouds
237,Nicoya,CR,10.1483,-85.452,89.6,48,20,18.41,few clouds
238,Tampere,FI,61.4991,23.7871,34.0,93,20,6.91,few clouds
239,Riyadh,SA,24.6877,46.7219,51.8,24,0,5.75,clear sky
240,Saronno,IT,45.6279,9.0346,43.0,86,30,1.99,scattered clouds
241,Diapaga,BF,12.0708,1.7889,75.29,17,100,7.27,overcast clouds
242,Oroville,US,39.5138,-121.5564,51.8,62,1,6.91,clear sky
243,Hovd,MN,48.0056,91.6419,9.84,81,100,2.46,overcast clouds
244,Georgetown,MY,5.4112,100.3354,78.01,94,20,3.65,few clouds
245,Guajara,BR,-2.9667,-57.6667,81.64,88,36,4.34,moderate rain
246,Vila Velha,BR,-20.3297,-40.2925,82.4,74,20,11.5,light rain
247,Alamosa,US,37.4695,-105.87,39.2,60,1,19.57,clear sky
248,Sur,OM,22.5667,59.5289,65.62,60,0,12.97,clear sky
249,Katihar,IN,25.5333,87.5833,58.68,63,95,3.02,overcast clouds
250,Karratha,AU,-20.7377,116.8463,83.35,48,0,14.83,clear sky
251,Zhengjiatun,CN,43.5064,123.5064,12.67,91,0,4.5,clear sky
252,Ryotsu,JP,38.0833,138.4333,43.18,75,100,13.98,overcast clouds
253,Chokurdakh,RU,70.6333,147.9167,-37.21,83,91,6.06,overcast clouds
254,Krasnogorskiy,RU,54.6025,61.231,-14.3,88,85,10.2,overcast clouds
255,Pietersburg,ZA,-23.9045,29.4688,71.6,64,100,11.5,moderate rain
256,Kargasok,RU,59.0556,80.8572,-49.14,76,52,6.6,broken clouds
257,Uspenka,UA,48.3903,39.1619,36.43,87,99,15.23,overcast clouds
258,San Patricio,US,28.017,-97.5169,69.8,88,90,14.97,overcast clouds
259,Portsmouth,GB,50.799,-1.0913,37.0,82,0,12.08,clear sky
260,Vanavara,RU,60.34,102.2797,-34.73,82,100,1.34,overcast clouds
261,Kulim,MY,5.365,100.5618,78.01,94,20,1.34,few clouds
262,Maceio,BR,-9.6658,-35.7353,80.6,69,75,12.66,light rain
263,Foldeak,HU,46.3167,20.5,50.0,76,20,11.5,few clouds
264,Tamiahua,MX,21.2667,-97.45,78.57,74,52,6.82,broken clouds
265,Acacias,CO,3.987,-73.758,79.09,70,100,3.51,overcast clouds
266,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,77,75,5.75,broken clouds
267,Mecca,SA,21.4267,39.8261,75.78,49,5,2.59,clear sky
268,Bandarbeyla,SO,9.4942,50.8122,74.46,70,100,18.81,overcast clouds
269,Gallup,US,35.5281,-108.7426,39.2,75,75,16.11,broken clouds
270,Noshiro,JP,40.2039,140.0242,26.92,92,72,8.19,broken clouds
271,Constitucion,CL,-35.3333,-72.4167,67.19,70,14,7.11,few clouds
272,Dzilam Gonzalez,MX,21.2833,-88.9333,87.13,44,0,4.94,clear sky
273,Marsh Harbour,BS,26.5412,-77.0636,74.16,70,6,9.62,clear sky
274,Aktau,KZ,43.65,51.2,35.6,80,90,13.42,overcast clouds
275,Uberaba,BR,-19.7483,-47.9319,86.0,28,75,6.91,broken clouds
276,Pilar,BR,-9.5972,-35.9567,80.6,69,75,12.66,light rain
277,Santana Do Livramento,BR,-30.8908,-55.5328,92.28,36,3,8.66,clear sky
278,Svetlogorsk,BY,52.6333,29.7333,31.93,98,48,9.48,scattered clouds
279,Nueva Gorgona,PA,8.55,-79.8667,86.0,70,40,10.36,scattered clouds
280,Chaska,US,44.7894,-93.6022,21.99,63,90,13.8,overcast clouds
281,Tchibanga,GA,-2.85,11.0333,72.05,98,100,2.33,overcast clouds
282,Alindao,CF,5.0267,21.2088,77.58,29,70,0.98,broken clouds
283,Billings,US,45.7833,-108.5007,32.0,59,20,3.44,few clouds
284,Te Anau,NZ,-45.4167,167.7167,51.84,86,100,6.98,overcast clouds
285,Airai,TL,-8.9266,125.4092,61.27,100,100,2.04,overcast clouds
286,Kizema,RU,61.113,44.8302,12.0,95,100,8.03,snow
287,Khatanga,RU,71.9667,102.5,-27.29,84,100,11.39,overcast clouds
288,Lakes Entrance,AU,-37.8811,147.981,63.07,76,67,0.98,broken clouds
289,Umm Kaddadah,SD,13.6017,26.6876,68.2,24,43,13.2,scattered clouds
290,Banyo,CM,6.75,11.8167,68.2,25,78,5.32,broken clouds
291,Tecpan,GT,14.7623,-90.9947,81.0,38,0,16.11,clear sky
292,Vila Franca Do Campo,PT,37.7167,-25.4333,63.0,94,75,9.22,broken clouds
293,Lompoc,US,34.6391,-120.4579,51.8,81,90,5.75,overcast clouds
294,Worcester,US,42.3334,-71.8328,26.01,42,1,23.02,clear sky
295,San Andres,CO,12.5847,-81.7006,84.2,65,20,13.8,few clouds
296,Gazanjyk,TM,39.2446,55.5154,28.99,92,66,11.25,broken clouds
297,Yakeshi,CN,49.2833,120.7333,-0.31,91,40,2.06,scattered clouds
298,Miaoli,TW,24.5643,120.8237,63.0,88,20,16.11,few clouds
299,Helena,US,46.5927,-112.0361,26.01,74,90,1.32,overcast clouds
300,Cabo San Lucas,MX,22.8909,-109.9124,73.4,56,40,11.5,scattered clouds
301,Bud,US,39.447,-86.1758,34.0,56,73,6.33,broken clouds
302,Necochea,AR,-38.5473,-58.7368,87.98,38,0,13.4,clear sky
303,Tooele,US,40.5308,-112.2983,33.8,100,90,10.36,snow
304,Kaitangata,NZ,-46.2817,169.8464,62.01,47,100,18.01,overcast clouds
305,Port Hardy,CA,50.6996,-127.4199,37.4,87,90,2.3,overcast clouds
306,Pokhara,NP,28.2333,83.9833,52.39,49,0,3.47,clear sky
307,Malpe,IN,13.35,74.7167,78.8,83,40,4.32,scattered clouds
308,Deputatskiy,RU,69.3,139.9,-35.64,85,100,1.05,overcast clouds
309,Chone,EC,-0.6833,-80.1,83.25,74,100,5.79,moderate rain
310,Wad Rawah,SD,15.1603,33.1397,75.79,32,0,12.21,clear sky
311,Salamanca,ES,40.8333,-6.0,52.0,76,100,25.37,light rain
312,Obo,CF,5.3998,26.4869,76.24,33,72,5.26,broken clouds
313,Ambilobe,MG,-13.2,49.05,74.66,92,9,1.68,clear sky
314,Platanos,GR,37.6667,21.6167,51.8,93,75,9.22,broken clouds
315,Manzhouli,CN,49.6,117.4333,5.52,88,97,2.98,overcast clouds
316,Akhtanizovskaya,RU,45.32,37.1,46.4,66,59,13.42,broken clouds
317,Zaysan,KZ,47.4667,84.8667,4.19,83,100,2.53,light snow
318,Oranjemund,NA,-28.55,16.4333,63.86,83,43,14.58,scattered clouds
319,Husavik,IS,66.0449,-17.3389,30.2,93,90,24.16,heavy snow
320,Kununurra,AU,-15.7667,128.7333,77.0,100,100,3.44,overcast clouds
321,Wenatchee,US,47.4235,-120.3103,30.99,74,1,2.44,clear sky
322,Birao,CF,10.2849,22.7882,76.48,18,11,7.72,few clouds
323,Portree,GB,57.4129,-6.1942,32.0,91,100,10.6,overcast clouds
324,Aykhal,RU,66.0,111.5,-38.4,79,55,3.44,broken clouds
325,Paamiut,GL,61.994,-49.6678,21.54,81,0,6.87,clear sky
326,Saint-Pierre,RE,-21.3393,55.4781,80.6,74,0,5.75,clear sky
327,Lata,PT,40.1629,-8.3327,57.99,95,100,7.0,overcast clouds
328,Concepcion Del Uruguay,AR,-32.4825,-58.2372,96.01,35,0,4.0,clear sky
329,Talaya,RU,61.3833,152.75,-30.44,81,100,3.49,overcast clouds
330,Gamba,GA,-2.65,10.0,77.02,87,100,1.61,overcast clouds
331,Palembang,ID,-2.9167,104.7458,74.28,95,100,3.76,overcast clouds
332,Mayo,US,38.8876,-76.5119,35.01,40,1,13.8,clear sky
333,Pennagaram,IN,12.1333,77.9,66.83,91,5,3.6,clear sky
334,Longyearbyen,SJ,78.2186,15.6401,8.6,72,0,11.5,clear sky
335,Russell,US,32.3502,-85.1999,66.0,27,1,5.75,clear sky
336,Saldanha,ZA,-33.0117,17.9442,68.0,77,97,13.8,overcast clouds
337,Dunmore East,IE,52.1514,-6.9861,39.99,75,0,8.05,clear sky
338,Aklavik,CA,68.2191,-135.0107,-0.4,85,75,8.05,broken clouds
339,Bathsheba,BB,13.2167,-59.5167,82.4,61,20,14.97,few clouds
340,Xapuri,BR,-10.6517,-68.5044,78.8,89,75,6.91,moderate rain
341,Victoria Point,AU,-27.5833,153.3,70.0,83,75,8.05,broken clouds
342,Erzin,TR,36.9559,36.2,48.99,56,46,8.16,scattered clouds
343,Krasnoselkup,RU,65.7,82.4667,-41.64,75,0,6.87,clear sky
344,Caravelas,BR,-17.7125,-39.2481,80.02,68,61,8.03,broken clouds
345,Alofi,NU,-19.0595,-169.9187,84.2,74,75,5.75,light rain
346,Paciran,ID,-6.8767,112.3761,78.35,82,100,5.88,light rain
347,Meulaboh,ID,4.1363,96.1285,75.94,89,67,3.53,broken clouds
